SPECIES,BINOMIAL,FAMILY,Min_fw,Max_fw,Med_fw
Agriphila straminella,Agriphila straminella,Crambidae,8,10,9
Brown China-mark,Elophila nymphaeata,Crambidae,12,16,14
Catoptria pinella ,Catoptria pinella ,Crambidae,10,13,11.5
Chrysoteuchia culmella,Chrysoteuchia culmella,Crambidae,9,12,10.5
Crambus perlella,Crambus perlella,Crambidae,10,12,11
Donacaula forficella,Donacaula forficella,Crambidae,11,17,14
Eudonia pallida,Eudonia pallida,Crambidae,8,9,9.5
Eudonia truncicolella,Eudonia truncicolella,Crambidae,9,11,10
Mother of Pearl,Pleuroptya ruralis,Crambidae,15,17,16
Ringed China-mark,Parapoynx stratiotata,Crambidae,10,14,12
Scoparia pyralella,Scoparia pyralella,Crambidae,8,10,9
Buff Arches,Habrosyne pyritoides,Drepanidae,17,20,18.5
Chinese Character,Cilix glaucata,Drepanidae,10,13,11.5
Common Lutestring,Ochropacha duplaris,Drepanidae,14,18,16
Oak Hook-tip,Watsonalla binaria,Drepanidae,13,18,15.5
Pebble Hook-tip,Drepana falcataria,Drepanidae,17,21,19
Scalloped Hook-tip,Falcaria lacertinaria,Drepanidae,14,18,16
Beautiful Hook-tip,Laspeyria flexula,Erebidae,13,15,14
Buff Ermine,Spilosoma luteum,Erebidae,17,22,19.5
Cinnabar,Tyria jacobaeae,Erebidae,17,23,20
Common Footman,Eilema lurideola,Erebidae,14,17,15.5
Dingy Footman,Eilema griseola,Erebidae,15,18,16.5
Garden Tiger,Arctia caja,Erebidae,28,37,32.5
Ruby Tiger,Phragmatobia fuliginosa,Erebidae,14,19,16.5
Small Fan-foot,Herminia grisealis,Erebidae,11,13,12
Straw Dot,Rivula sericealis,Erebidae,13,15,14
The Fan-foot,Zanclognatha tarsipennalis,Erebidae,13,16,14.5
The Snout,Hypena proboscidalis,Erebidae,15,19,17
White Ermine,Spilosoma lubricipeda,Erebidae,18,23,20.5
White Satin,Leucoma salicis,Erebidae,18,27,22.5
Yellow-tail,Euproctis similis,Erebidae,16,22,19
Barred Straw,Eulithis pyraliata,Geometridae,15,18,16.5
Barred Yellow,Cidaria fulvata,Geometridae,12,14,13
Blood-vein,Timandra comae,Geometridae,15,18,16.5
Blue-bordered Carpet,Plemyria rubiginata,Geometridae,12,15,13.5
Bordered Pug,Eupithecia succenturiata,Geometridae,12,13,12.5
Bordered White,Bupalus piniaria,Geometridae,17,19,18
Brimstone Moth,Opisthograptis luteolata,Geometridae,14,21,17.5
Brindled Beauty,Lycia hirtaria,Geometridae,19,23,21
Brindled Pug,Eupithecia abbreviata,Geometridae,10,12,11
Broken-barred Carpet,Electrophaes corylata,Geometridae,14,16,15
Brown Silver-lines,Petrophora chlorosata,Geometridae,15,18,16.5
Canary-shouldered Thorn,Ennomos alniaria,Geometridae,16,20,18
Clouded Border,Lomaspilis marginata,Geometridae,11,14,12.5
Clouded Silver,Lomographa temerata,Geometridae,13,15,14
Common Carpet,Epirrhoe alternata,Geometridae,13,14,13.5
Common Emerald,Hemithea aestivaria,Geometridae,14,17,15.5
Common Marbled Carpet,Chloroclysta truncata,Geometridae,14,19,16.5
Common Pug,Eupithecia vulgata,Geometridae,10,12,11
Common Wave,Cabera exanthemata,Geometridae,14,16,15
Common White Wave,Cabera pusaria,Geometridae,15,17,16
Currant Pug,Eupithecia assimilata,Geometridae,9,12,10.5
Dark Spinach,Pelurga comitata,Geometridae,16,18,17
Dark-barred Twin-spot Carpet,Xanthorhoe ferrugata,Geometridae,12,13,12.5
Dingy Shell,Euchoeca nebulata,Geometridae,9,12,10.5
Double-striped Pug,Gymnoscelis rufifasciata,Geometridae,8,10,9
Early Moth,Theria primaria,Geometridae,14,17,15.5
Early Thorn,Selenia dentaria,Geometridae,14,23,18.5
Edinburgh Pug,Eupithecia intricata,Geometridae,12,13,12.5
Feathered Thorn,Colotois pennaria,Geometridae,19,23,21
Foxglove Pug,Eupithecia pulchellata,Geometridae,10,12,11
Garden Carpet,Xanthorhoe fluctuata,Geometridae,13,16,14.5
Green Carpet,Colostygia pectinataria,Geometridae,12,15,13.5
Green Pug,Pasiphila rectangulata,Geometridae,8,11,9.5
Grey Pine Carpet,Thera obeliscata,Geometridae,13,17,15
Grey Pug,Eupithecia subfuscata,Geometridae,10,12,11
July Highflyer,Hydriomena furcata,Geometridae,14,18,16
Juniper Carpet,Thera juniperata,Geometridae,11,14,12.5
Juniper Pug,Eupithecia pusillata,Geometridae,9,11,10
Large Emerald,Geometra papilionaria,Geometridae,24,29,26.5
Least Carpet,Idaea rusticata,Geometridae,9,11,10
Lesser Treble-bar,Aplocera efformata,Geometridae,16,19,17.5
Light Emerald,Campaea margaritata,Geometridae,18,26,22
Lime-speck Pug,Eupithecia centaureata,Geometridae,10,12,11
Little Emerald,Jodis lactearia,Geometridae,18,26,22
March Moth,Alsophila aescularia,Geometridae,16,19,17.5
May Highflyer,Hydriomena impluviata,Geometridae,13,16,14.5
Mottled Beauty,Alcis repandata,Geometridae,19,26,22.5
Mottled Pug,Eupithecia exiguata,Geometridae,11,12,11.5
Narrow-winged Pug,Eupithecia nanata angusta,Geometridae,9,12,10.5
November Moth,Epirrita dilutata,Geometridae,15,20,17.5
Oak-tree Pug,Eupithecia dodoneata,Geometridae,8,11,9.5
Peppered Moth,Biston betularia,Geometridae,22,28,25
Plain Wave,Idaea straminata,Geometridae,13,15,14
Riband Wave,Idaea aversata,Geometridae,14,16,15
Scalloped Hazel,Odontopera bidentata,Geometridae,20,24,22
Scalloped Oak,Crocallis elinguaria,Geometridae,18,22,20
Scorched Wing,Plagodis dolabraria,Geometridae,16,19,17.5
Shaded Broad-bar,Scotopteryx chenopodiata,Geometridae,16,19,17.5
Shoulder Stripe,Anticlea badiata,Geometridae,14,18,16
Silver-ground Carpet,Xanthorhoe montanata,Geometridae,14,17,15.5
Single-dotted Wave,Idaea dimidiata,Geometridae,9,11,10
Slender Pug,Eupithecia tenuiata,Geometridae,8,10,9
Small Blood-vein,Scopula imitaria,Geometridae,13,15,14
Small Dusty Wave,Idaea seriata,Geometridae,9,11,10
Small Fan-footed Wave,Idaea biselata,Geometridae,10,11,10.5
Small Phoenix,Ecliptopera silaceata,Geometridae,13,17,15
Small Rivulet,Perizoma alchemillata,Geometridae,9,11,10
Small Yellow Wave,Hydrelia flammeolaria,Geometridae,9,11,10
Spring Usher,Agriopis leucophaearia,Geometridae,14,17,15.5
Spruce Carpet,Thera britannica,Geometridae,13,17,15
Swallow-tail Moth,Ourapteryx sambucaria,Geometridae,22,30,26
Tawny-speckled Pug,Eupithecia icterata,Geometridae,11,13,12
The Magpie,Abraxas grossulariata,Geometridae,18,25,21.5
The Phoenix,Eulithis prunata,Geometridae,17,19,18
The Spinach,Eulithis mellinata,Geometridae,16,18,17
The Streamer,Anticlea derivata,Geometridae,14,16,15
Twin-spot Carpet,Perizoma didymata,Geometridae,11,15,13
White-spotted Pug,Eupithecia tripunctaria,Geometridae,10,12,11
Willow Beauty,Peribatodes rhomboidaria,Geometridae,17,24,20.5
Wormwood Pug,Eupithecia absinthiata,Geometridae,11,13,12
Yellow Shell,Camptogramma bilineata,Geometridae,13,16,14.5
Yellow-barred Brindle,Acasis viretata,Geometridae,10,14,12
Common Swift,Hepialus lupulinus,Hepialidae,11,20,15.5
Ghost Moth,Hepialus humuli,Hepialidae,21,35,28
Orange Swift,Hepialus sylvina,Hepialidae,11,20,15.5
Drinker,Euthrix potatoria,Lasiocampidae,21,35,28
Oak Eggar,Lasiocampa quercus,Lasiocampidae,25,40,32.5
Angle Shades,Phlogophora meticulosa,Noctuidae,21,25,23
Barred Sallow,Xanthia aurago,Noctuidae,14,16,15
Beaded Chestnut,Agrochola lychnidis,Noctuidae,15,18,16.5
Beautiful Golden Y,Autographa pulchrina,Noctuidae,17,20,18.5
Blair's Shoulder-knot,Lithophane leautieri hesperica,Noctuidae,17,20,18.5
Bright-line Brown-eye,Lacanobia oleracea,Noctuidae,14,19,16.5
Broad-bordered Yellow Underwing,Noctua fimbriata,Noctuidae,22,27,24.5
Brown-spot Pinion,Agrochola (Anchoscelis) litura,Noctuidae,14,17,15.5
Burnished Brass,Diachrysia chrysitis,Noctuidae,16,19,17.5
Cabbage Moth,Mamestra brassicae,Noctuidae,14,22,18
Centre-barred Sallow,Atethmia centrago,Noctuidae,15,18,16.5
Chamomile Shark,Cucullia chamomillae,Noctuidae,19,23,21
Clay,Mythimna (Hyphilare) ferrago,Noctuidae,15,18,16.5
Cloaked Minor,Mesoligia furuncula,Noctuidae,10,12,11
Clouded Drab,Orthosia incerta,Noctuidae,16,20,18
Clouded-bordered Brindle,Apamea crenata,Noctuidae,18,22,20
Common Quaker,Orthosia cerasi,Noctuidae,13,17,15
Common Rustic,Mesapamea secalis/didyma,Noctuidae,12,16,14
Common Wainscot,Mythimna pallens,Noctuidae,14,17,15.5
Copper Underwing,Amphipyra pyramidea,Noctuidae,21,26,23.5
Dark Arches,Apamea monoglypha,Noctuidae,19,26,22.5
Dark Chestnut,Conistra ligula,Noctuidae,13,15,14
Dark Dagger,Acronicta tridens,Noctuidae,17,20,18.5
Dingy Shears,Parastichtis ypsillon,Noctuidae,15,19,17
Dot Moth,Melanchra persicariae,Noctuidae,16,21,18.5
Double Square-spot,Xestia triangulum,Noctuidae,17,19,18
The Dun-bar,Cosmia trapezina,Noctuidae,13,16,14.5
Dusky Brocade,Apamea remissa,Noctuidae,17,19,18
Dusky Sallow,Eremobia ochroleuca,Noctuidae,14,16,15
Dusky-lemon Sallow,Xanthia gilvago,Noctuidae,15,18,16.5
Early Grey,Xylocampa areola,Noctuidae,15,18,16.5
Flame Shoulder,Ochropleura plecta,Noctuidae,12,15,13.5
Flounced Rustic,Luperina testacea,Noctuidae,14,18,16
Frosted Orange,Gortyna flavago,Noctuidae,16,19,17.5
Green-brindled Crescent,Allophyes oxyacanthae,Noctuidae,17,20,18.5
Grey Dagger,Acronicta psi,Noctuidae,17,20,18.5
Heart & Dart,Agrotis exclamationis,Noctuidae,15,19,17
Hebrew Character,Orthosia gothica,Noctuidae,15,17,16
Ingrailed Clay,Diarsia mendica,Noctuidae,13,17,15
Large Ear,Amphipoea lucens,Noctuidae,14,17,15.5
Large Wainscot,Rhizedra lutosa,Noctuidae,16,23,19.5
Large Yellow Underwing,Noctua pronuba,Noctuidae,21,26,23.5
Lead-coloured Drab,Orthosia populeti,Noctuidae,15,17,16
Lesser Yellow Underwing,Noctua comes,Noctuidae,16,21,18.5
Light Arches,Apamea lithoxylaea,Noctuidae,18,23,20.5
Lunar Underwing,Omphaloscelis lunosa,Noctuidae,14,17,15.5
Lychnis,Hadena bicruris,Noctuidae,14,17,15.5
Marbled Beauty,Cryphia domestica,Noctuidae,12,14,13
Marbled Minor,Oligia strigilis,Noctuidae,11,13,12
Merveille du Jour,Dichonia aprilina,Noctuidae,18,23,20.5
Middle-barred Minor,Oligia fasciuncula,Noctuidae,10,12,11
Minor Shoulder-knot,Brachylomia viminalis,Noctuidae,13,15,14
Mottled Rustic,Caradrina morpheus,Noctuidae,13,16,14.5
Mouse Moth,Amphipyra tragopoginis,Noctuidae,16,18,17
Pale Mottled Willow,Caradrina (Paradrina) clavipalpis,Noctuidae,12,15,13.5
Plain Golden Y,Autographa jota,Noctuidae,17,21,19
Poplar Grey,Acronicta megacephala,Noctuidae,17,20,18.5
Powdered Quaker,Orthosia gracilis,Noctuidae,15,19,17
Red-line Quaker,Agrochola (Leptologia) lota,Noctuidae,15,18,16.5
Rosy Minor,Mesoligia literosa,Noctuidae,10,13,11.5
Rosy Rustic,Hydraecia micacea,Noctuidae,14,21,17.5
Rufous Minor,Oligia versicolor,Noctuidae,11,12,11.5
Rustic,Hoplodrina blanda,Noctuidae,13,16,14.5
Rustic Shoulder-knot,Apamea sordens,Noctuidae,16,19,17.5
Setaceous Hebrew Character,Xestia c-nigrum,Noctuidae,14,19,16.5
Shoulder-striped Wainscot,Mythimna comma,Noctuidae,16,19,17.5
Shuttle-shaped Dart,Agrotis puta,Noctuidae,12,16,14
Silver Y,Autographa gamma,Noctuidae,13,21,17
Six-striped Rustic,Xestia sexstrigata,Noctuidae,15,17,16
Small Angle Shades,Euplexia lucipara,Noctuidae,14,17,15.5
Small Dotted Buff,Photedes minima,Noctuidae,11,14,12.5
Small Quaker,Orthosia cruda,Noctuidae,12,15,13.5
Small Square-spot,Diarsia rubi,Noctuidae,12,16,14
Smoky Wainscot,Mythimna impura,Noctuidae,14,18,16
Square-spot Rustic,Xestia xanthographa,Noctuidae,14,17,15.5
Svenson's Copper Underwing,Amphipyra berbera berbera,Noctuidae,21,26,23.5
Tawny Marbled Minor,Oligia latruncula,Noctuidae,11,13,12
The Chestnut,Conistra vaccinii,Noctuidae,14,15,14.5
The Flame,Axylia putris,Noctuidae,14,16,15
The Miller,Acronicta leporina,Noctuidae,16,21,18.5
The Nutmeg,Discestra trifolii,Noctuidae,14,18,16
The Olive,Ipimorpha subtusa,Noctuidae,14,16,15
The Sallow,Xanthia icteritia,Noctuidae,14,17,15.5
Treble Lines,Charanyca trigrammica,Noctuidae,15,17,16
Turnip Moth,Agrotis segetum,Noctuidae,16,21,18.5
The Uncertain,Hoplodrina alsines,Noctuidae,14,16,15
Yellow-line Quaker,Agrochola (Leptologia) macilenta,Noctuidae,14,16,15
Short-cloaked Moth,Nola cucullatella,Nolidae,8,10,9
Buff-tip,Phalera bucephala,Notodontidae,22,26,24
Coxcomb Prominent,Ptilodon capucina,Notodontidae,17,22,19.5
Iron Prominent,Notodonta dromedarius,Notodontidae,18,24,21
Lesser Swallow Prominent,Pheosia gnoma,Notodontidae,20,26,23
Pale Prominent,Pterostoma palpina,Notodontidae,18,25,21.5
Diamond-backed Moth,Plutella xylostella,Plutellidae,6,8.5,7.25
Narycia duplicella,Narycia duplicella,Psychidae,4,6,5
Bee Moth,Aphomia sociella,Pyralidae,12,17,14.5
Lesser Wax Moth,Achroia grisella,Pyralidae,7,11,9
Elephant Hawk-moth,Deilephila elpenor,Sphingidae,28,33,30.5
Eyed Hawk-moth,Smerinthus ocellata,Sphingidae,36,44,40
Lime Hawk-moth,Mimas tiliae,Sphingidae,23,29,26
Poplar Hawk-moth,Laothoe populi,Sphingidae,30,46,38
Agapeta hamana,Agapeta hamana,Tortricidae,8,12,10
Bird-cherry Ermine,Yponomeuta evonymella,Yponomeutidae,9.5,12.5,11
